area,week_no,date,events,weekly_total,weekly_total_pc
Limerick County,35,2020-08-26,Phase 3,1206210,89.10520266057567
Limerick County,36,2020-09-02,Phase 3,1393402,102.9334590143105
Limerick County,37,2020-09-09,Phase 3,1368441,101.08953883158061
Limerick County,38,2020-09-16,Phase 3,1378302,101.81799109398592
Limerick County,39,2020-09-23,Phase 3,1361022,100.54148210966748
Limerick County,46,2020-11-12,Level 5,866481,64.00872576627475
Limerick County,47,2020-11-18,Level 5,165968,12.26039601327333
Longford County,6,2020-02-05,Pre-restrictions,155682,112.74666183859141
Longford County,7,2020-02-12,Pre-restrictions,156826,113.57515955279953
Longford County,8,2020-02-19,Pre-restrictions,163462,118.38102566423754
Longford County,9,2020-02-26,Pre-restrictions,142438,103.15520753179742
Longford County,10,2020-03-04,Pre-restrictions,163653,118.51935002036844
Longford County,11,2020-03-11,Pre-restrictions,127231,92.14212646539627
Longford County,12,2020-03-18,School Shutdown,104448,75.64242067623229
Longford County,13,2020-03-25,School Shutdown,66729,48.325895079889555
Longford County,14,2020-04-01,Full Restrictions,58182,42.13606119585389
Longford County,15,2020-04-08,Full Restrictions,50351,36.46476259448694
Longford County,16,2020-04-15,Full Restrictions,60749,43.99511157380165
Longford County,17,2020-04-22,Full Restrictions,63294,45.83822930339927
Longford County,18,2020-04-29,Full Restrictions,47613,34.48187208618114
Longford County,19,2020-05-06,Full Restrictions,71983,52.13090119042231
Longford County,20,2020-05-13,Full Restrictions,80546,58.332322455076266
Longford County,21,2020-05-20,Phase 1,94191,68.21418548861631
Longford County,22,2020-05-27,Phase 1,87409,63.302584529036345
Longford County,23,2020-06-03,Phase 1,109525,79.31924138867514
Longford County,24,2020-06-10,Phase 2,118132,85.55252795002943
Longford County,25,2020-06-17,Phase 2,126079,91.30783506087901
Longford County,26,2020-06-24,Phase 2,114605,82.99823473498394
Longford County,27,2020-07-01,Phase 3,152532,110.46539627936451
Longford County,28,2020-07-08,Phase 3,158876,115.05979269451862
Longford County,29,2020-07-15,Phase 3,164596,119.20228126555924
Longford County,30,2020-07-22,Phase 3,165448,119.81930928348345
Longford County,31,2020-07-29,Phase 3,141713,102.63015434753089
Longford County,32,2020-08-05,Phase 3,169002,122.39315620332232
Longford County,33,2020-08-12,Phase 3,168066,121.71529443715204
Longford County,34,2020-08-19,Phase 3,163525,118.42665097542209
Longford County,35,2020-08-26,Phase 3,137830,99.81804191372832
Longford County,36,2020-09-02,Phase 3,158246,114.60353958267324
Longford County,37,2020-09-09,Phase 3,162980,118.03195582311139
Longford County,38,2020-09-16,Phase 3,159157,115.26329606662745
Longford County,39,2020-09-23,Phase 3,149362,108.16964649436474
Longford County,46,2020-11-12,Level 5,98827,71.5716290227674
Longford County,47,2020-11-18,Level 5,18585,13.459466799438735
Louth County,6,2020-02-05,Pre-restrictions,2369147,113.48201476755352
Louth County,7,2020-02-12,Pre-restrictions,2414494,115.65413364564098
Louth County,8,2020-02-19,Pre-restrictions,2434980,116.63541195151568
Louth County,9,2020-02-26,Pre-restrictions,2111077,101.12047555066977
Louth County,10,2020-03-04,Pre-restrictions,2396706,114.80208939567032
Louth County,11,2020-03-11,Pre-restrictions,1782464,85.3799304013776
Louth County,12,2020-03-18,School Shutdown,1443018,69.12048513065908
Louth County,13,2020-03-25,School Shutdown,777225,37.22903598962487
Louth County,14,2020-04-01,Full Restrictions,614321,29.425943090073453
Louth County,15,2020-04-08,Full Restrictions,490270,23.483906815443902
Louth County,16,2020-04-15,Full Restrictions,608884,29.165511080455147
Louth County,17,2020-04-22,Full Restrictions,658194,31.52745744688495
Louth County,18,2020-04-29,Full Restrictions,512194,24.534065244517254
Louth County,19,2020-05-06,Full Restrictions,755421,36.18462555414251
Louth County,20,2020-05-13,Full Restrictions,907266,43.45799294433787
Louth County,21,2020-05-20,Phase 1,1108554,53.0996773938597
Louth County,22,2020-05-27,Phase 1,1066133,51.067713759499156
Louth County,23,2020-06-03,Phase 1,1345507,64.44971343856952
Louth County,24,2020-06-10,Phase 2,1483186,71.04453018534885
Louth County,25,2020-06-17,Phase 2,1573001,75.34666388846976
Louth County,26,2020-06-24,Phase 2,1412357,67.65182486821527
Louth County,27,2020-07-01,Phase 3,1874615,89.79395837973641
Louth County,28,2020-07-08,Phase 3,1988673,95.2573304880765
Louth County,29,2020-07-15,Phase 3,2036627,97.55432452692816
Louth County,30,2020-07-22,Phase 3,2037449,97.59369828302641
Louth County,31,2020-07-29,Phase 3,1752159,83.9283225199204
Louth County,32,2020-08-05,Phase 3,2165233,103.71454505828225
Louth County,33,2020-08-12,Phase 3,2174503,104.15857756318603
Louth County,34,2020-08-19,Phase 3,2085350,99.8881536247087
Louth County,35,2020-08-26,Phase 3,1803554,86.3901402749936
Louth County,36,2020-09-02,Phase 3,2045215,97.96568926825645
Louth County,37,2020-09-09,Phase 3,2114933,101.3051777447268
Louth County,38,2020-09-16,Phase 3,2050782,98.23234827093168
Louth County,39,2020-09-23,Phase 3,1940562,92.95281615760999
Louth County,40,2020-10-02,Phase 3,34943,1.6737678337488653
Louth County,46,2020-11-12,Level 5,1108023,53.074242522219585
Louth County,47,2020-11-18,Level 5,200018,9.580851517350558
Mayo County,6,2020-02-05,Pre-restrictions,452179,111.0671985301703
Mayo County,7,2020-02-12,Pre-restrictions,466404,114.56123717214987
Mayo County,8,2020-02-19,Pre-restrictions,483603,118.78576937625576
Mayo County,9,2020-02-26,Pre-restrictions,444461,109.17145229194199
Mayo County,10,2020-03-04,Pre-restrictions,525241,129.01317049926067
Mayo County,11,2020-03-11,Pre-restrictions,402690,98.91138282873439
Mayo County,12,2020-03-18,School Shutdown,339292,83.33914649662755
Mayo County,13,2020-03-25,School Shutdown,208151,51.12742617691994
Mayo County,14,2020-04-01,Full Restrictions,181301,44.53235148186538
Mayo County,15,2020-04-08,Full Restrictions,156976,38.557483997425834
Mayo County,16,2020-04-15,Full Restrictions,190680,46.83608353270027
Mayo County,17,2020-04-22,Full Restrictions,199667,49.04352994925354
Mayo County,18,2020-04-29,Full Restrictions,151559,37.22692460736585
Mayo County,19,2020-05-06,Full Restrictions,227813,55.95693674132078
Mayo County,20,2020-05-13,Full Restrictions,258667,63.535500415108984
Mayo County,21,2020-05-20,Phase 1,299867,73.65531707940126
Mayo County,22,2020-05-27,Phase 1,273542,67.18919635883101
Mayo County,23,2020-06-03,Phase 1,347803,85.42967464298171
Mayo County,24,2020-06-10,Phase 2,392301,96.35956789365349
Mayo County,25,2020-06-17,Phase 2,414124,101.71987757969356
Mayo County,26,2020-06-24,Phase 2,365176,89.69694587863097
Mayo County,27,2020-07-01,Phase 3,487385,119.71472924577891
Mayo County,28,2020-07-08,Phase 3,521611,128.12154587568344
Mayo County,29,2020-07-15,Phase 3,550941,135.32577458354007
Mayo County,30,2020-07-22,Phase 3,555762,136.5099405092331
Mayo County,31,2020-07-29,Phase 3,473589,116.3260644229494
Mayo County,32,2020-08-05,Phase 3,582553,143.0905232338218
Mayo County,33,2020-08-12,Phase 3,578577,142.113911800394
Mayo County,34,2020-08-19,Phase 3,542347,133.2148594278865
Mayo County,35,2020-08-26,Phase 3,465639,114.37333280932988
Mayo County,36,2020-09-02,Phase 3,520876,127.94101031140544
Mayo County,37,2020-09-09,Phase 3,520095,127.7491759226964
Mayo County,38,2020-09-16,Phase 3,528362,129.77977117424263
Mayo County,39,2020-09-23,Phase 3,509248,125.08486399654157
Mayo County,46,2020-11-12,Level 5,311718,76.56623813009368
Mayo County,47,2020-11-18,Level 5,59317,14.569834103782158
Meath County,6,2020-02-05,Pre-restrictions,2369720,113.86762861745122
Meath County,7,2020-02-12,Pre-restrictions,2371722,113.96382689931241
Meath County,8,2020-02-19,Pre-restrictions,2422953,116.42553228294452
Meath County,9,2020-02-26,Pre-restrictions,2203834,105.89662552812653
Meath County,10,2020-03-04,Pre-restrictions,2546550,122.3645028339932
Meath County,11,2020-03-11,Pre-restrictions,1869324,89.82305546549313
Meath County,12,2020-03-18,School Shutdown,1584649,76.14411146507413
Meath County,13,2020-03-25,School Shutdown,960073,46.132553976690176
Meath County,14,2020-04-01,Full Restrictions,787414,37.836100855874
Meath County,15,2020-04-08,Full Restrictions,661243,31.77344679957518
Meath County,16,2020-04-15,Full Restrictions,804810,38.6719976147439
Meath County,17,2020-04-22,Full Restrictions,852433,40.96033466623052
Meath County,18,2020-04-29,Full Restrictions,662378,31.827984786544445
Meath County,19,2020-05-06,Full Restrictions,1002149,48.15435163283009
Meath County,20,2020-05-13,Full Restrictions,1160555,55.76593257014588
Meath County,21,2020-05-20,Phase 1,1419802,68.22303345809398
Meath County,22,2020-05-27,Phase 1,1262047,60.64273378026452
Meath County,23,2020-06-03,Phase 1,1571779,75.52569393882351
Meath County,24,2020-06-10,Phase 2,1730196,83.13780343812755
Meath County,25,2020-06-17,Phase 2,1827500,87.81336668399308
Meath County,26,2020-06-24,Phase 2,1614379,77.57267036603999
Meath County,27,2020-07-01,Phase 3,2195978,105.5191361663375
Meath County,28,2020-07-08,Phase 3,2262960,108.73769426605145
Meath County,29,2020-07-15,Phase 3,2336623,112.27728169699151
Meath County,30,2020-07-22,Phase 3,2314574,111.21780321709254
Meath County,31,2020-07-29,Phase 3,1904928,91.53386646818363
Meath County,32,2020-08-05,Phase 3,2358901,113.34776387646401
Meath County,33,2020-08-12,Phase 3,2362120,113.50244033466143
Meath County,34,2020-08-19,Phase 3,2322617,111.60427813268178
Meath County,35,2020-08-26,Phase 3,2022952,97.20504829554976
Meath County,36,2020-09-02,Phase 3,2335206,112.20919330268715
Meath County,37,2020-09-09,Phase 3,2352193,113.02543716581216
Meath County,38,2020-09-16,Phase 3,2207593,106.07724957483795
Meath County,39,2020-09-23,Phase 3,2117051,101.72660779847564
Meath County,40,2020-10-02,Phase 3,17414,0.8367616784870345
Meath County,46,2020-11-12,Level 5,1372796,65.96434392903912
Meath County,47,2020-11-18,Level 5,138948,6.67660283119424
Monaghan County,6,2020-02-05,Pre-restrictions,381413,111.96772010785405
Monaghan County,7,2020-02-12,Pre-restrictions,391562,114.94706373634762
Monaghan County,8,2020-02-19,Pre-restrictions,402945,118.28866079252478
Monaghan County,9,2020-02-26,Pre-restrictions,348556,102.32220886522794
Monaghan County,10,2020-03-04,Pre-restrictions,400190,117.47990212699126
Monaghan County,11,2020-03-11,Pre-restrictions,310622,91.1862919075696
Monaghan County,12,2020-03-18,School Shutdown,265817,78.03332203126125
Monaghan County,13,2020-03-25,School Shutdown,164259,48.219923644962286
Monaghan County,14,2020-04-01,Full Restrictions,136313,40.01608710521642
Monaghan County,15,2020-04-08,Full Restrictions,115176,33.811102744642156
Monaghan County,16,2020-04-15,Full Restrictions,140198,41.15656892576006
Monaghan County,17,2020-04-22,Full Restrictions,147742,43.37118793584533
Monaghan County,18,2020-04-29,Full Restrictions,119388,35.04757878791882
Monaghan County,19,2020-05-06,Full Restrictions,174074,51.10121812852364
Monaghan County,20,2020-05-13,Full Restrictions,199351,58.52154218975445
Monaghan County,21,2020-05-20,Phase 1,232401,68.22371057301505
Monaghan County,22,2020-05-27,Phase 1,218097,64.02462383915243
Monaghan County,23,2020-06-03,Phase 1,265598,77.96903232245839
Monaghan County,24,2020-06-10,Phase 2,286536,84.11559818051317
Monaghan County,25,2020-06-17,Phase 2,294277,86.38804857248958
Monaghan County,26,2020-06-24,Phase 2,271615,79.73538473280874
Monaghan County,27,2020-07-01,Phase 3,346165,101.62030615405165
Monaghan County,28,2020-07-08,Phase 3,360034,105.69169415125108
Monaghan County,29,2020-07-15,Phase 3,369029,108.33226917719448
Monaghan County,30,2020-07-22,Phase 3,374057,109.80829043683242
Monaghan County,31,2020-07-29,Phase 3,307126,90.1600050492374
Monaghan County,32,2020-08-05,Phase 3,382374,112.24983156976975
Monaghan County,33,2020-08-12,Phase 3,382701,112.34582579250277
Monaghan County,34,2020-08-19,Phase 3,376708,110.58651882969247
Monaghan County,35,2020-08-26,Phase 3,321280,94.31505773597479
Monaghan County,36,2020-09-02,Phase 3,372319,109.298082610808
Monaghan County,37,2020-09-09,Phase 3,375570,110.25244719216897
Monaghan County,38,2020-09-16,Phase 3,353912,103.89451790791307
Monaghan County,39,2020-09-23,Phase 3,286176,84.00991646741261
Monaghan County,40,2020-10-02,Phase 3,21214,6.227588504765218
Monaghan County,46,2020-11-12,Level 5,201367,59.11335978311764
Monaghan County,47,2020-11-18,Level 5,38581,11.325850480925185
North Tipperary,6,2020-02-05,Pre-restrictions,793335,111.2174606373378
North Tipperary,7,2020-02-12,Pre-restrictions,802244,112.46641140443876
North Tipperary,8,2020-02-19,Pre-restrictions,868494,121.75398445645793
North Tipperary,9,2020-02-26,Pre-restrictions,740589,103.82301040032944
North Tipperary,10,2020-03-04,Pre-restrictions,834278,116.95725087837661
North Tipperary,11,2020-03-11,Pre-restrictions,614086,86.08858241844898
North Tipperary,12,2020-03-18,School Shutdown,466976,65.46526360059931
North Tipperary,13,2020-03-25,School Shutdown,295480,41.42327676091509
North Tipperary,14,2020-04-01,Full Restrictions,247094,34.64005397306604
North Tipperary,15,2020-04-08,Full Restrictions,207895,29.14475471169095
North Tipperary,16,2020-04-15,Full Restrictions,252362,35.37857374420622
North Tipperary,17,2020-04-22,Full Restrictions,266878,37.41356861851732
North Tipperary,18,2020-04-29,Full Restrictions,202421,28.37735584547581
North Tipperary,19,2020-05-06,Full Restrictions,310088,43.47116909516258
North Tipperary,20,2020-05-13,Full Restrictions,353655,49.5788173239523
North Tipperary,21,2020-05-20,Phase 1,411991,57.756928441878195
North Tipperary,22,2020-05-27,Phase 1,374449,52.49392364914003
North Tipperary,23,2020-06-03,Phase 1,474814,66.56407111126687
North Tipperary,24,2020-06-10,Phase 2,527139,73.89950145008805
North Tipperary,25,2020-06-17,Phase 2,563887,79.05119555598391
North Tipperary,26,2020-06-24,Phase 2,529475,74.2269847806468
North Tipperary,27,2020-07-01,Phase 3,722899,101.34305315821292
North Tipperary,28,2020-07-08,Phase 3,744692,104.398209075536
North Tipperary,29,2020-07-15,Phase 3,770357,107.99617982844276
North Tipperary,30,2020-07-22,Phase 3,785004,110.04953956418501
North Tipperary,31,2020-07-29,Phase 3,673443,94.4098273037124
North Tipperary,32,2020-08-05,Phase 3,799121,112.02859871551112
North Tipperary,33,2020-08-12,Phase 3,783383,109.82229192769712
North Tipperary,34,2020-08-19,Phase 3,751411,105.34014422023814
North Tipperary,35,2020-08-26,Phase 3,655963,91.95930991579851
North Tipperary,36,2020-09-02,Phase 3,757220,106.15450666339557
North Tipperary,37,2020-09-09,Phase 3,777920,109.05643514908307
North Tipperary,38,2020-09-16,Phase 3,751098,105.29626481849803
North Tipperary,39,2020-09-23,Phase 3,716465,100.44107210135722
North Tipperary,46,2020-11-12,Level 5,432819,60.6768012196511
North Tipperary,47,2020-11-18,Level 5,68824,9.648421550674225
Offaly County,6,2020-02-05,Pre-restrictions,530142,111.21986526070664
Offaly County,7,2020-02-12,Pre-restrictions,539652,113.2149928277157
Offaly County,8,2020-02-19,Pre-restrictions,575389,120.71235075223757
Offaly County,9,2020-02-26,Pre-restrictions,496893,104.24447130955159
Offaly County,10,2020-03-04,Pre-restrictions,566688,118.88694539361025
Offaly County,11,2020-03-11,Pre-restrictions,416556,87.39036370168543
Offaly County,12,2020-03-18,School Shutdown,332250,69.70358928903913
Offaly County,13,2020-03-25,School Shutdown,206481,43.31818455978958
Offaly County,14,2020-04-01,Full Restrictions,173119,36.31908404553548
Offaly County,15,2020-04-08,Full Restrictions,147662,30.97839398524634
Offaly County,16,2020-04-15,Full Restrictions,178977,37.548049059998064
Offaly County,17,2020-04-22,Full Restrictions,188038,39.44897975239229
Offaly County,18,2020-04-29,Full Restrictions,145087,30.438178056219172
Offaly County,19,2020-05-06,Full Restrictions,221925,46.55822137838979
Offaly County,20,2020-05-13,Full Restrictions,251776,52.82074009582277
Offaly County,21,2020-05-20,Phase 1,293666,61.60895184997731
Offaly County,22,2020-05-27,Phase 1,267928,56.20931007083122
Offaly County,23,2020-06-03,Phase 1,337792,70.86625984386187
Offaly County,24,2020-06-10,Phase 2,371369,77.9104657657823
Offaly County,25,2020-06-17,Phase 2,393553,82.56450466657401
Offaly County,26,2020-06-24,Phase 2,361065,75.74876287929845
Offaly County,27,2020-07-01,Phase 3,449782,94.36093242318313
Offaly County,28,2020-07-08,Phase 3,439668,92.2390901295207
Offaly County,29,2020-07-15,Phase 3,504121,105.760852177516
Offaly County,30,2020-07-22,Phase 3,455902,95.64486309722051
Offaly County,31,2020-07-29,Phase 3,393756,82.60709256311479
Offaly County,32,2020-08-05,Phase 3,446465,93.66505038955863
Offaly County,33,2020-08-12,Phase 3,439671,92.2397195073021
Offaly County,34,2020-08-19,Phase 3,437079,91.69593710418039
Offaly County,35,2020-08-26,Phase 3,380745,79.87748112522257
Offaly County,36,2020-09-02,Phase 3,438345,91.96153452792733
Offaly County,37,2020-09-09,Phase 3,448489,94.08967059940366
Offaly County,38,2020-09-16,Phase 3,423672,88.88324779914457
Offaly County,39,2020-09-23,Phase 3,396229,83.12590964757467
Offaly County,46,2020-11-12,Level 5,311965,65.44794652386784
Offaly County,47,2020-11-18,Level 5,59072,12.392868100773873
Roscommon County,6,2020-02-05,Pre-restrictions,348419,111.76383318778203
Roscommon County,7,2020-02-12,Pre-restrictions,355644,114.08142693204317
Roscommon County,8,2020-02-19,Pre-restrictions,371878,119.2888756302211
Roscommon County,9,2020-02-26,Pre-restrictions,324333,104.03766530898977
Roscommon County,10,2020-03-04,Pre-restrictions,373026,119.65712443553763
Roscommon County,11,2020-03-11,Pre-restrictions,289961,93.01201379649923
Roscommon County,12,2020-03-18,School Shutdown,242272,77.71461198749302
Roscommon County,13,2020-03-25,School Shutdown,154995,49.718400331039
Roscommon County,14,2020-04-01,Full Restrictions,135760,43.54830819666346
Roscommon County,15,2020-04-08,Full Restrictions,118783,38.10252425253592
Roscommon County,16,2020-04-15,Full Restrictions,141250,45.30935866808128
Roscommon County,17,2020-04-22,Full Restrictions,148683,47.6936734502395
Roscommon County,18,2020-04-29,Full Restrictions,118586,38.0393317310661
Roscommon County,19,2020-05-06,Full Restrictions,172222,55.244377830331295
Roscommon County,20,2020-05-13,Full Restrictions,192927,61.886008069075515
Roscommon County,21,2020-05-20,Phase 1,221870,71.17017633760845
Roscommon County,22,2020-05-27,Phase 1,206522,66.24693359893439
Roscommon County,23,2020-06-03,Phase 1,253226,81.22837280059152
Roscommon County,24,2020-06-10,Phase 2,278120,89.21372624967621
Roscommon County,25,2020-06-17,Phase 2,296142,94.99471925439241
Roscommon County,26,2020-06-24,Phase 2,266000,85.32594269528934
Roscommon County,27,2020-07-01,Phase 3,351316,112.6931161050311
Roscommon County,28,2020-07-08,Phase 3,362247,116.19949911105445
Roscommon County,29,2020-07-15,Phase 3,374869,120.24831132421212
Roscommon County,30,2020-07-22,Phase 3,371669,119.22183381810339
Roscommon County,31,2020-07-29,Phase 3,326274,104.66028807128886
Roscommon County,32,2020-08-05,Phase 3,381723,122.44689783260878
Roscommon County,33,2020-08-12,Phase 3,385855,123.7723369123717
Roscommon County,34,2020-08-19,Phase 3,365613,117.2792251377926
Roscommon County,35,2020-08-26,Phase 3,314739,100.9601574359875
Roscommon County,36,2020-09-02,Phase 3,357407,114.64695188306497
Roscommon County,37,2020-09-09,Phase 3,362891,116.40607770915882
Roscommon County,38,2020-09-16,Phase 3,360774,115.72699868402377
Roscommon County,39,2020-09-23,Phase 3,344371,110.46533914255447
Roscommon County,46,2020-11-12,Level 5,221273,70.97867412787504
Roscommon County,47,2020-11-18,Level 5,41020,13.158158531431463
Sligo County,6,2020-02-05,Pre-restrictions,290575,112.19220262743849
Sligo County,7,2020-02-12,Pre-restrictions,297814,114.98721030125773
Sligo County,8,2020-02-19,Pre-restrictions,305342,117.89380206372648
Sligo County,9,2020-02-26,Pre-restrictions,265447,102.49017847662623
Sligo County,10,2020-03-04,Pre-restrictions,305390,117.91233506114924
Sligo County,11,2020-03-11,Pre-restrictions,233597,90.1927624784023
Sligo County,12,2020-03-18,School Shutdown,190622,73.59993822334192
Sligo County,13,2020-03-25,School Shutdown,118478,45.74484309694109
Sligo County,14,2020-04-01,Full Restrictions,103986,40.14942229172097
Sligo County,15,2020-04-08,Full Restrictions,90889,35.09261672409965
Sligo County,16,2020-04-15,Full Restrictions,109596,42.31546636550546
Sligo County,17,2020-04-22,Full Restrictions,114679,44.27803357175262
Sligo County,18,2020-04-29,Full Restrictions,89739,34.648596994179485
Sligo County,19,2020-05-06,Full Restrictions,131129,50.629446230175965
Sligo County,20,2020-05-13,Full Restrictions,146261,56.471973667699494
Sligo County,21,2020-05-20,Phase 1,168028,64.87630189480593
Sligo County,22,2020-05-27,Phase 1,152236,58.77894574271952
Sligo County,23,2020-06-03,Phase 1,190686,73.62464888657226
Sligo County,24,2020-06-10,Phase 2,213155,82.3000222009865
Sligo County,25,2020-06-17,Phase 2,224049,86.50624040772594
Sligo County,26,2020-06-24,Phase 2,200102,77.26020521433604
Sligo County,27,2020-07-01,Phase 3,265439,102.48708964372244
Sligo County,28,2020-07-08,Phase 3,283587,109.49410708597573
Sligo County,29,2020-07-15,Phase 3,293596,113.35862315273313
Sligo County,30,2020-07-22,Phase 3,297979,115.05091747989846
Sligo County,31,2020-07-29,Phase 3,254937,98.43222424926881
Sligo County,32,2020-08-05,Phase 3,316236,122.10002027046593
Sligo County,33,2020-08-12,Phase 3,312912,120.81661019894014
Sligo County,34,2020-08-19,Phase 3,294744,113.80187067442735
Sligo County,35,2020-08-26,Phase 3,257480,99.41408700856186
Sligo County,36,2020-09-02,Phase 3,291654,112.60880896533749
Sligo County,37,2020-09-09,Phase 3,292689,113.00842672226565
Sligo County,38,2020-09-16,Phase 3,300901,116.17911369800866
Sligo County,39,2020-09-23,Phase 3,285934,110.40029343912585
Sligo County,46,2020-11-12,Level 5,177329,68.4674562495777
Sligo County,47,2020-11-18,Level 5,34442,13.298197859052694
South Dublin,6,2020-02-05,Pre-restrictions,7154956,113.9801995024188
South Dublin,7,2020-02-12,Pre-restrictions,7149835,113.89862071959304
South Dublin,8,2020-02-19,Pre-restrictions,7358957,117.22998534019236
South Dublin,9,2020-02-26,Pre-restrictions,6467105,103.02256479328318
South Dublin,10,2020-03-04,Pre-restrictions,7375057,117.48646227897284
South Dublin,11,2020-03-11,Pre-restrictions,5527529,88.05488925094795
South Dublin,12,2020-03-18,School Shutdown,4687585,74.67437584305841
South Dublin,13,2020-03-25,School Shutdown,2778115,44.25605160124845
South Dublin,14,2020-04-01,Full Restrictions,2158340,34.38288422654879
South Dublin,15,2020-04-08,Full Restrictions,1817224,28.948822894310393
South Dublin,16,2020-04-15,Full Restrictions,2258705,35.981723230319076
South Dublin,17,2020-04-22,Full Restrictions,2391794,38.101863559844155
South Dublin,18,2020-04-29,Full Restrictions,1844122,29.377314614764867
South Dublin,19,2020-05-06,Full Restrictions,2802660,44.64705945605383
South Dublin,20,2020-05-13,Full Restrictions,3297829,52.53522276654983
South Dublin,21,2020-05-20,Phase 1,4090906,65.16913339867388
South Dublin,22,2020-05-27,Phase 1,3721728,59.288037541214536
South Dublin,23,2020-06-03,Phase 1,4750164,75.67127462268219
South Dublin,24,2020-06-10,Phase 2,5381145,85.72295631887093
South Dublin,25,2020-06-17,Phase 2,5661492,90.18895261429253
South Dublin,26,2020-06-24,Phase 2,5037173,80.24339820792713
South Dublin,27,2020-07-01,Phase 3,6309131,100.5060003257735
South Dublin,28,2020-07-08,Phase 3,6461930,102.94012577724658
South Dublin,29,2020-07-15,Phase 3,6587065,104.93355694086732
South Dublin,30,2020-07-22,Phase 3,6475559,103.15723908150989
South Dublin,31,2020-07-29,Phase 3,5165385,82.28584673431976
South Dublin,32,2020-08-05,Phase 3,6253140,99.61404999786933
South Dublin,33,2020-08-12,Phase 3,6167525,98.2501821026091
South Dublin,34,2020-08-19,Phase 3,6147029,97.9236758083703
South Dublin,35,2020-08-26,Phase 3,5401156,86.041736444457
South Dublin,36,2020-09-02,Phase 3,6445515,102.67863081140302
South Dublin,37,2020-09-09,Phase 3,6610734,105.31060990136392
South Dublin,38,2020-09-16,Phase 3,6109596,97.3273589605834
South Dublin,39,2020-09-23,Phase 3,5956221,94.88405768819493
South Dublin,46,2020-11-12,Level 5,3880947,61.824435163306916
South Dublin,47,2020-11-18,Level 5,799156,12.730750589319486
South Tipperary,6,2020-02-05,Pre-restrictions,503939,111.46978200485196
South Tipperary,7,2020-02-12,Pre-restrictions,522858,115.65460756062318
South Tipperary,8,2020-02-19,Pre-restrictions,533743,118.0623366252973
South Tipperary,9,2020-02-26,Pre-restrictions,466037,103.08597428695774
South Tipperary,10,2020-03-04,Pre-restrictions,528207,116.8377901758682
South Tipperary,11,2020-03-11,Pre-restrictions,395539,87.49202999652168
South Tipperary,12,2020-03-18,School Shutdown,328333,72.6262661453054
South Tipperary,13,2020-03-25,School Shutdown,206003,45.56724028572013
South Tipperary,14,2020-04-01,Full Restrictions,180044,39.82518803125292
South Tipperary,15,2020-04-08,Full Restrictions,146543,32.41486819701793
South Tipperary,16,2020-04-15,Full Restrictions,180756,39.9826802769165
South Tipperary,17,2020-04-22,Full Restrictions,194981,43.12920723557422
South Tipperary,18,2020-04-29,Full Restrictions,146744,32.459328788841496
South Tipperary,19,2020-05-06,Full Restrictions,223139,49.357671636409684
South Tipperary,20,2020-05-13,Full Restrictions,251201,55.56490112771747
South Tipperary,21,2020-05-20,Phase 1,289122,63.95291158812238
South Tipperary,22,2020-05-27,Phase 1,259641,57.43180359035869
South Tipperary,23,2020-06-03,Phase 1,333279,73.72030637992903
South Tipperary,24,2020-06-10,Phase 2,368912,81.60221816325775
South Tipperary,25,2020-06-17,Phase 2,386758,85.54969936566238
South Tipperary,26,2020-06-24,Phase 2,351351,77.71777809851339
South Tipperary,27,2020-07-01,Phase 3,436562,96.56619347103951
South Tipperary,28,2020-07-08,Phase 3,448899,99.29510054231969
South Tipperary,29,2020-07-15,Phase 3,474407,104.93739296140167
South Tipperary,30,2020-07-22,Phase 3,492957,109.0405968336759
South Tipperary,31,2020-07-29,Phase 3,413676,91.50387951843206
South Tipperary,32,2020-08-05,Phase 3,504761,111.65160591768266
South Tipperary,33,2020-08-12,Phase 3,496077,109.73073139332527
South Tipperary,34,2020-08-19,Phase 3,471431,104.27911076604384
South Tipperary,35,2020-08-26,Phase 3,392785,86.88285352944656
South Tipperary,36,2020-09-02,Phase 3,468658,103.66573155645804
South Tipperary,37,2020-09-09,Phase 3,475166,105.10528146485485
South Tipperary,38,2020-09-16,Phase 3,474593,104.97853559861154
South Tipperary,39,2020-09-23,Phase 3,476807,105.46826569959349
South Tipperary,46,2020-11-12,Level 5,300497,66.46902717017734
South Tipperary,47,2020-11-18,Level 5,59326,13.122731694153156
Waterford County,6,2020-02-05,Pre-restrictions,180173,111.81320300985182
Waterford County,7,2020-02-12,Pre-restrictions,183529,113.89589636180281
Waterford County,8,2020-02-19,Pre-restrictions,191799,119.02815918082383
Waterford County,9,2020-02-26,Pre-restrictions,167860,104.17190287797689
Waterford County,10,2020-03-04,Pre-restrictions,192367,119.38065316887752
Waterford County,11,2020-03-11,Pre-restrictions,146952,91.19664882476147
Waterford County,12,2020-03-18,School Shutdown,125775,78.05445659762626
Waterford County,13,2020-03-25,School Shutdown,78025,48.42137925684586
Waterford County,14,2020-04-01,Full Restrictions,66012,40.96625552711194
Waterford County,15,2020-04-08,Full Restrictions,57835,35.89170739275463
Waterford County,16,2020-04-15,Full Restrictions,69072,42.865254828950434
Waterford County,17,2020-04-22,Full Restrictions,72216,44.81638352338841
Waterford County,18,2020-04-29,Full Restrictions,55668,34.54689318128927
Waterford County,19,2020-05-06,Full Restrictions,82538,51.222092933054064
