road_id,date,lon,lat,daily_total
NRA_000000001012,2020-04-11,-6.2335,53.40305,15798
NRA_000000001012,2020-04-12,-6.2335,53.40305,10877
NRA_000000001012,2020-04-13,-6.2335,53.40305,13412
NRA_000000001012,2020-04-14,-6.2335,53.40305,31726
NRA_000000001012,2020-04-15,-6.2335,53.40305,32261
NRA_000000001012,2020-04-16,-6.2335,53.40305,32912
NRA_000000001012,2020-04-17,-6.2335,53.40305,33250
NRA_000000001012,2020-04-18,-6.2335,53.40305,17727
NRA_000000001012,2020-04-19,-6.2335,53.40305,13336
NRA_000000001012,2020-04-20,-6.2335,53.40305,32290
NRA_000000001012,2020-04-21,-6.2335,53.40305,32752
NRA_000000001012,2020-04-22,-6.2335,53.40305,33368
NRA_000000001012,2020-04-23,-6.2335,53.40305,33739
NRA_000000001012,2020-04-24,-6.2335,53.40305,33926
NRA_000000001012,2020-04-25,-6.2335,53.40305,18548
NRA_000000001012,2020-04-26,-6.2335,53.40305,14040
NRA_000000001012,2020-04-27,-6.2335,53.40305,33622
NRA_000000001012,2020-04-28,-6.2335,53.40305,34022
NRA_000000001012,2020-04-29,-6.2335,53.40305,34400
NRA_000000001012,2020-04-30,-6.2335,53.40305,35154
NRA_000000001012,2020-05-01,-6.2335,53.40305,35492
NRA_000000001012,2020-05-02,-6.2335,53.40305,19368
NRA_000000001012,2020-05-03,-6.2335,53.40305,14084
NRA_000000001012,2020-05-04,-6.2335,53.40305,16673
NRA_000000001012,2020-05-05,-6.2335,53.40305,37993
NRA_000000001012,2020-05-06,-6.2335,53.40305,37999
NRA_000000001012,2020-05-07,-6.2335,53.40305,37753
NRA_000000001013,2020-01-09,-6.24237,53.38807,42108
NRA_000000001013,2020-01-10,-6.24237,53.38807,44573
NRA_000000001013,2020-01-12,-6.24237,53.38807,37861
NRA_000000001013,2020-01-13,-6.24237,53.38807,40605
NRA_000000001013,2020-01-14,-6.24237,53.38807,40575
NRA_000000001013,2020-01-15,-6.24237,53.38807,42111
NRA_000000001013,2020-01-16,-6.24237,53.38807,41858
NRA_000000001013,2020-01-17,-6.24237,53.38807,44271
NRA_000000001013,2020-01-18,-6.24237,53.38807,39033
NRA_000000001013,2020-01-19,-6.24237,53.38807,38702
NRA_000000001013,2020-01-20,-6.24237,53.38807,42219
NRA_000000001013,2020-01-21,-6.24237,53.38807,39508
NRA_000000001013,2020-01-22,-6.24237,53.38807,40639
NRA_000000001013,2020-01-23,-6.24237,53.38807,41781
NRA_000000001013,2020-01-24,-6.24237,53.38807,44638
NRA_000000001013,2020-01-25,-6.24237,53.38807,40343
NRA_000000001013,2020-01-26,-6.24237,53.38807,37794
NRA_000000001013,2020-01-27,-6.24237,53.38807,41526
NRA_000000001013,2020-01-28,-6.24237,53.38807,41281
NRA_000000001013,2020-01-29,-6.24237,53.38807,42099
NRA_000000001013,2020-01-30,-6.24237,53.38807,44577
NRA_000000001013,2020-01-31,-6.24237,53.38807,46663
NRA_000000001013,2020-02-01,-6.24237,53.38807,39904
NRA_000000001013,2020-02-02,-6.24237,53.38807,40663
NRA_000000001013,2020-02-03,-6.24237,53.38807,43404
NRA_000000001013,2020-02-04,-6.24237,53.38807,42277
NRA_000000001013,2020-02-05,-6.24237,53.38807,42964
NRA_000000001013,2020-02-06,-6.24237,53.38807,44641
NRA_000000001013,2020-02-07,-6.24237,53.38807,47489
NRA_000000001013,2020-02-08,-6.24237,53.38807,40500
NRA_000000001013,2020-02-09,-6.24237,53.38807,36839
NRA_000000001013,2020-02-10,-6.24237,53.38807,44653
NRA_000000001013,2020-02-11,-6.24237,53.38807,41436
NRA_000000001013,2020-02-12,-6.24237,53.38807,43351
NRA_000000001013,2020-02-13,-6.24237,53.38807,45644
NRA_000000001013,2020-02-14,-6.24237,53.38807,46026
NRA_000000001013,2020-02-15,-6.24237,53.38807,36528
NRA_000000001013,2020-02-16,-6.24237,53.38807,37702
NRA_000000001013,2020-02-17,-6.24237,53.38807,44166
NRA_000000001013,2020-02-18,-6.24237,53.38807,41968
NRA_000000001013,2020-02-19,-6.24237,53.38807,42727
NRA_000000001013,2020-02-20,-6.24237,53.38807,44846
NRA_000000001013,2020-02-21,-6.24237,53.38807,46853
NRA_000000001013,2020-02-22,-6.24237,53.38807,40538
NRA_000000001013,2020-02-23,-6.24237,53.38807,38952
NRA_000000001013,2020-02-24,-6.24237,53.38807,43040
NRA_000000001013,2020-02-25,-6.24237,53.38807,42693
NRA_000000001013,2020-02-26,-6.24237,53.38807,43867
NRA_000000001013,2020-02-27,-6.24237,53.38807,45557
NRA_000000001013,2020-02-28,-6.24237,53.38807,48047
NRA_000000001013,2020-02-29,-6.24237,53.38807,39937
NRA_000000001013,2020-03-01,-6.24237,53.38807,40189
NRA_000000001013,2020-03-02,-6.24237,53.38807,36418
NRA_000000001013,2020-03-03,-6.24237,53.38807,42353
