file_names,successful,no_col,no_row,no_numeric,no_na
./data/ind_road_data/NRA_000000001012_2020-03-25.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-03-26.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-03-27.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-03-28.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-03-29.csv,TRUE,5,24,1,1
./data/ind_road_data/NRA_000000001012_2020-03-30.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-03-31.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-01.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-02.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-03.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-04.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-05.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-06.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-07.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-08.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-09.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-10.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-11.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-12.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-13.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-14.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-15.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-16.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-17.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-18.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-19.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-20.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-21.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-22.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-23.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-24.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-25.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-26.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-27.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-28.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-29.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-04-30.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-05-01.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-05-02.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-05-03.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-05-04.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-05-05.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-05-06.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001012_2020-05-07.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001013_2020-01-09.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001013_2020-01-10.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001013_2020-01-12.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001013_2020-01-13.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001013_2020-01-14.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001013_2020-01-15.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001013_2020-01-16.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001013_2020-01-17.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001013_2020-01-18.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001013_2020-01-19.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001013_2020-01-20.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001013_2020-01-21.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001013_2020-01-22.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001013_2020-01-23.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001013_2020-01-24.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001013_2020-01-25.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001013_2020-01-26.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001013_2020-01-27.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001013_2020-01-28.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001013_2020-01-29.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001013_2020-01-30.csv,TRUE,5,24,1,0
./data/ind_road_data/NRA_000000001013_2020-01-31.csv,TRUE,5,24,1,0
